Kategorie,Metrik,Wert,Einheit,Formel
Grunddaten,Marketingbudget,50000,CHF,Vorgabe
Grunddaten,Ziel Downloads,25000,Anzahl,Vorgabe
Grunddaten,Ziel zahlende Kunden,4000,Anzahl,Vorgabe
Grunddaten,Kundenbindung,6,Monate,Vorgabe
Grunddaten,Basic Abo-Preis,3.99,CHF,Vorgabe
Grunddaten,Erweitert Abo-Preis,8.99,CHF,Vorgabe
Grunddaten,Basic Anteil,70.0,%,Vorgabe
Grunddaten,Erweitert Anteil,30.0,%,Vorgabe
Grunddaten,Conversion Rate,16.0,%,Zahlende Kunden / Downloads
,,,,
Abo-Verteilung,Basic Kunden,2800,Anzahl,4000 × 70%
Abo-Verteilung,Erweitert Kunden,1200,Anzahl,4000 × 30%
Abo-Verteilung,Durchschnittspreis,5.49,CHF,Gewichteter Durchschnitt
,,,,
Revenue Basic,CLV Basic,23.94,CHF,3.99 × 6 Monate
Revenue Basic,Umsatz Basic,67032,CHF,2800 × 23.94
Revenue Basic,MRR Basic,11172,CHF,2800 × 3.99
,,,,
Revenue Erweitert,CLV Erweitert,53.94,CHF,8.99 × 6 Monate
Revenue Erweitert,Umsatz Erweitert,64728,CHF,1200 × 53.94
Revenue Erweitert,MRR Erweitert,10788,CHF,1200 × 8.99
,,,,
Revenue Gesamt,CLV Durchschnitt,32.94,CHF,5.49 × 6 Monate
Revenue Gesamt,Gesamtumsatz Jahr,131760,CHF,Basic + Erweitert
Revenue Gesamt,MRR Gesamt,21960,CHF,Basic + Erweitert
,,,,
ROI Berechnung,Gewinn,81760,CHF,Gesamtumsatz - Marketingbudget
ROI Berechnung,ROI,63.52,%,(Gewinn - Investition) / Investition × 100
,,,,
ROAS Berechnung,ROAS,2.64,Verhältnis,Umsatz / Werbeausgaben
,,,,
Zusätzliche KPIs,Cost per Acquisition,12.50,CHF,Marketingbudget / Anzahl Kunden
Zusätzliche KPIs,Cost per Download,2.00,CHF,Marketingbudget / Anzahl Downloads
Zusätzliche KPIs,Payback Period,2.28,Monate,CPA / Durchschnittlicher Abo-Preis
,,,,
Szenario Optimistisch,Zahlende Kunden,5000,Anzahl,+25% Performance
Szenario Optimistisch,Basic Kunden,3500,Anzahl,5000 × 70%
Szenario Optimistisch,Erweitert Kunden,1500,Anzahl,5000 × 30%
Szenario Optimistisch,Gesamtumsatz,164700,CHF,3500×23.94 + 1500×53.94
Szenario Optimistisch,ROI,229.4,%,Berechnung analog
Szenario Optimistisch,ROAS,3.29,Verhältnis,Berechnung analog
,,,,
Szenario Konservativ,Zahlende Kunden,3000,Anzahl,-25% Performance
Szenario Konservativ,Basic Kunden,2100,Anzahl,3000 × 70%
Szenario Konservativ,Erweitert Kunden,900,Anzahl,3000 × 30%
Szenario Konservativ,Gesamtumsatz,98820,CHF,2100×23.94 + 900×53.94
Szenario Konservativ,ROI,97.64,%,Berechnung analog
Szenario Konservativ,ROAS,1.98,Verhältnis,Berechnung analog
,,,,
Upselling Analyse,Upselling Potential,280,Kunden,10% von Basic-Kunden
Upselling Analyse,Zusätzlicher MRR,1400,CHF,280 × 5.00 CHF Differenz
Upselling Analyse,Zusätzlicher Jahresumsatz,16800,CHF,1400 × 12
Upselling Analyse,Neuer ROI bei 10% Upselling,97.16,%,Mit zusätzlichem Umsatz
,,,,
Benchmarks,Minimum ROAS,2.5,Verhältnis,Aktuelle Performance erreicht
Benchmarks,Ziel ROAS,3.0,Verhältnis,Empfohlener Zielwert
Benchmarks,CPA Ziel,15.0,CHF,Payback unter 2.5 Monate
Benchmarks,Breakeven Kunden,3789,Anzahl,Bei ROAS 2.0:1 
